time,stockX,stockY,stockZ
0.0,71.72913,21.979652,6.2912135
0.1,71.50566,21.88015,6.373404
0.2,71.28217,21.780525,6.4554963
0.3,71.05867,21.68075,6.537477
0.4,70.83516,21.58086,6.6193523
0.5,70.61165,21.480837,6.7011156
0.6,70.38814,21.380688,6.7827654
0.7,70.16461,21.280413,6.8643007
0.8,69.94109,21.180008,6.9457192
0.90000004,69.717575,21.079481,7.027021
1.0,69.49407,20.978832,7.1082067
1.1,69.270874,20.878,7.189278
1.2,69.0475,20.77709,7.2702284
1.3000001,68.82418,20.676064,7.351065
1.4,68.6009,20.574919,7.4317913
1.5,68.37768,20.47367,7.5124106
1.6,68.15453,20.372305,7.5929246
1.7,67.93145,20.270844,7.67334
1.8000001,67.70846,20.169283,7.753657
1.9,67.48555,20.067623,7.8338804
2.0,67.26273,19.965876,7.914013
2.1000001,67.04003,19.864038,7.9940596
2.2,66.81743,19.76212,8.074022
2.3,66.59493,19.66012,8.153904
2.4,66.37257,19.558046,8.233709
2.5,66.150314,19.455898,8.313443
2.6000001,65.92819,19.353683,8.3931055
2.7,65.70621,19.251404,8.472702
2.8,65.48435,19.149063,8.552236
2.9,65.262634,19.046665,8.631709
3.0,65.04118,18.944275,8.711133
3.1000001,64.81978,18.84179,8.790499
3.2,64.59852,18.739256,8.869814
3.3,64.3774,18.636688,8.94908
3.4,64.15642,18.534086,9.028304
3.5,63.935566,18.431452,9.107486
3.6000001,63.714836,18.328798,9.18663
3.7,63.494236,18.226126,9.265741
3.8,63.27375,18.123436,9.344819
3.9,63.053368,18.020739,9.423871
4.0,62.833088,17.91804,9.502894
4.1,62.612915,17.815344,9.581895
4.2000003,62.392826,17.712656,9.660872
4.3,62.17282,17.609983,9.739832
4.4,61.952892,17.507334,9.818772
4.5,61.73304,17.40471,9.897697
4.6,61.51325,17.302124,9.976606
4.7000003,61.29351,17.199583,10.055504
4.8,61.07382,17.097084,10.134391
4.9,60.854164,16.994644,10.213265
5.0,60.63454,16.89227,10.29213
5.1,60.414944,16.789963,10.370988
5.2000003,60.195354,16.687737,10.449838
5.3,59.975693,16.585554,10.528655
5.4,59.7561,16.4835,10.607488
5.5,59.536503,16.38155,10.686313
5.6,59.316883,16.279707,10.765126
5.7000003,59.097244,16.177986,10.843932
5.8,58.877575,16.076393,10.922727
5.9,58.657867,15.974936,11.001512
6.0,58.43812,15.873622,11.080284
6.1,58.218315,15.772457,11.159051
6.2000003,57.998447,15.671449,11.237811
6.3,57.778515,15.5706005,11.3165655
6.4,57.5585,15.469921,11.395316
6.5,57.3384,15.369411,11.474069
6.6,57.11821,15.269077,11.552827
6.7000003,56.897915,15.168923,11.631594
6.8,56.677505,15.068951,11.710371
6.9,56.45698,14.969165,11.7891655
