time,stockX,stockY,stockZ
0.0,46.907597,40.826595,12.265809
0.1,46.671597,40.72821,12.349934
0.2,46.43542,40.62987,12.434124
0.3,46.19905,40.531586,12.518406
0.4,45.96244,40.433342,12.602799
0.5,45.72554,40.335133,12.687326
0.6,45.488308,40.236942,12.772001
0.7,45.2507,40.138756,12.856844
0.8,45.012688,40.04055,12.941865
0.90000004,44.774208,39.942337,13.0270605
1.0,44.535248,39.844078,13.112462
1.1,44.295803,39.745766,13.198054
1.2,44.05586,39.64738,13.283828
1.3000001,43.81543,39.54891,13.369777
1.4,43.574528,39.450344,13.45589
1.5,43.333183,39.35167,13.54216
1.6,43.091415,39.252888,13.628577
1.7,42.849255,39.153973,13.715131
1.8000001,42.60674,39.054928,13.801809
1.9,42.363926,38.955746,13.888606
2.0,42.12085,38.85641,13.975505
2.1000001,41.87758,38.75695,14.062523
2.2,41.634132,38.65731,14.149614
2.3,41.39054,38.557503,14.236798
2.4,41.146847,38.4575,14.324069
2.5,40.903057,38.357315,14.411428
2.6000001,40.659214,38.256924,14.498878
2.7,40.415314,38.156307,14.586411
2.8,40.171383,38.055454,14.674038
2.9,39.92741,37.954357,14.761756
3.0,39.683414,37.85299,14.849569
3.1000001,39.43938,37.75134,14.937483
3.2,39.195297,37.649387,15.025499
3.3,38.951115,37.54707,15.113622
3.4,38.70691,37.444443,15.2018585
3.5,38.462593,37.34147,15.290218
3.6000001,38.21815,37.238117,15.378712
3.7,37.973545,37.13439,15.467347
3.8,37.72876,37.030277,15.556134
3.9,37.483795,36.925774,15.645085
4.0,37.23864,36.82087,15.734211
4.1,36.99331,36.715584,15.8235235
4.2000003,36.747814,36.60991,15.913035
4.3,36.50218,36.503857,16.00276
4.4,36.25643,36.397446,16.092709
4.5,36.010635,36.290676,16.182924
4.6,35.76481,36.18359,16.273365
4.7000003,35.519054,36.07617,16.364044
4.8,35.27345,35.96844,16.454947
4.9,35.028065,35.860382,16.546064
5.0,34.78297,35.75201,16.63737
5.1,34.538223,35.64333,16.728851
5.2000003,34.29388,35.534344,16.820478
5.3,34.04999,35.425064,16.912226
5.4,33.806595,35.315495,17.00406
5.5,33.563732,35.205643,17.095953
5.6,33.32144,35.095524,17.18786
5.7000003,33.0797,34.985256,17.279722
5.8,32.838604,34.87466,17.37155
5.9,32.598114,34.763866,17.463306
6.0,32.35822,34.652943,17.554977
6.1,32.118908,34.54193,17.646547
6.2000003,31.88016,34.430855,17.73801
6.3,31.641953,34.31976,17.829363
6.4,31.404257,34.208652,17.920609
6.5,31.16705,34.097538,18.011751
6.6,30.93029,33.986416,18.1028
6.7000003,30.693945,33.87529,18.193773
6.8,30.45797,33.76413,18.284687
6.9,30.222326,33.652893,18.375565
7.0,29.986979,33.54157,18.466427
7.1,29.751888,33.430096,18.557281
7.2000003,29.517006,33.318428,18.64815
7.3,29.282291,33.206528,18.739023
7.4,29.047712,33.09436,18.829906
