time,stockX,stockY,stockZ
0.0,42.036404,44.470013,13.493585
0.1,41.78925,44.371803,13.58316
0.2,41.54177,44.273304,13.672887
0.3,41.294243,44.174713,13.762716
0.4,41.0464,44.075798,13.852719
0.5,40.798363,43.976597,13.942894
0.6,40.550167,43.877087,14.033266
0.7,40.30186,43.77724,14.123855
0.8,40.053505,43.677032,14.21468
0.90000004,39.805145,43.57643,14.305767
1.0,39.55687,43.475395,14.397139
1.1,39.308754,43.373833,14.48884
1.2,39.060875,43.27182,14.580853
1.3000001,38.813305,43.1693,14.673202
1.4,38.566135,43.066265,14.765888
1.5,38.319443,42.962704,14.858916
1.6,38.07329,42.858612,14.95228
1.7,37.827755,42.753998,15.045972
1.8000001,37.58288,42.648865,15.139979
1.9,37.338722,42.543213,15.234282
2.0,37.095325,42.437057,15.328858
2.1000001,36.852737,42.33042,15.423685
2.2,36.61084,42.223324,15.518747
2.3,36.3699,42.11576,15.613994
2.4,36.12979,42.007755,15.709397
2.5,35.890526,41.89932,15.804922
2.6000001,35.652065,41.790455,15.900536
2.7,35.4144,41.681194,15.996207
2.8,35.17751,41.571564,16.091908
2.9,34.941357,41.461597,16.187618
3.0,34.705917,41.351315,16.28332
3.1000001,34.471146,41.240765,16.378994
3.2,34.23701,41.129993,16.474627
3.3,34.003456,41.019047,16.570211
3.4,33.770416,40.907967,16.66569
3.5,33.53788,40.796818,16.761156
3.6000001,33.30579,40.68564,16.856585
3.7,33.074112,40.574467,16.951988
3.8,32.842808,40.463326,17.047388
3.9,32.611862,40.35222,17.142805
4.0,32.381237,40.24116,17.238255
4.1,32.150925,40.130142,17.33376
4.2000003,31.920898,40.019127,17.429337
4.3,31.69116,39.9081,17.525005
4.4,31.46165,39.797016,17.620754
4.5,31.232445,39.68585,17.716623
4.6,31.003504,39.574566,17.812565
4.7000003,30.77483,39.463158,17.908539
4.8,30.546423,39.351597,18.004494
4.9,30.31828,39.239887,18.100374
5.0,30.090391,39.12801,18.196115
5.1,29.862757,39.015976,18.29164
5.2000003,29.635366,38.903793,18.386862
5.3,29.40821,38.791466,18.481688
5.4,29.181332,38.67907,18.576023
5.5,28.954622,38.56652,18.669806
5.6,28.728077,38.453873,18.762964
5.7000003,28.501663,38.341137,18.855436
5.8,28.275347,38.228317,18.947172
5.9,28.04908,38.115437,19.038132
6.0,27.82283,38.002483,19.128283
6.1,27.596548,37.88948,19.217607
6.2000003,27.370192,37.776432,19.306091
6.3,27.143711,37.6633,19.393753
6.4,26.917074,37.550148,19.480566
6.5,26.690258,37.43696,19.566572
6.6,26.46325,37.323746,19.651815
6.7000003,26.236036,37.21052,19.73634
6.8,26.008615,37.09729,19.820204
6.9,25.780993,36.98408,19.903458
7.0,25.55317,36.870895,19.986162
