time,stockX,stockY,stockZ
0.0,62.610767,28.95574,8.4334955
0.1,62.375954,28.85011,8.514199
0.2,62.14108,28.744442,8.594811
0.3,61.906097,28.638742,8.675317
0.4,61.671032,28.533,8.755709
0.5,61.435898,28.427217,8.8359785
0.6,61.200687,28.321388,8.9161215
0.7,60.965416,28.215508,8.996133
0.8,60.7301,28.109575,9.07601
0.90000004,60.494717,28.003582,9.155747
1.0,60.259293,27.897512,9.235352
1.1,60.023846,27.791393,9.314807
1.2,59.78837,27.6852,9.394119
1.3000001,59.55287,27.57894,9.47329
1.4,59.317368,27.472603,9.552327
1.5,59.08186,27.36619,9.631232
1.6,58.84635,27.259693,9.710007
1.7,58.610844,27.153114,9.788658
1.8000001,58.375362,27.046444,9.867189
1.9,58.139896,26.939686,9.945604
2.0,57.90445,26.83283,10.023909
2.1000001,57.669025,26.72588,10.102107
2.2,57.433643,26.618824,10.1802025
2.3,57.19829,26.51166,10.258203
2.4,56.96297,26.40439,10.336109
2.5,56.7277,26.297005,10.413932
2.6000001,56.492466,26.189499,10.491674
2.7,56.257275,26.081871,10.569341
2.8,56.022076,25.9742,10.646926
2.9,55.786972,25.866322,10.724454
3.0,55.55192,25.758312,10.801917
3.1000001,55.316917,25.650156,10.879322
3.2,55.081966,25.54185,10.956668
3.3,54.847065,25.43339,11.033961
3.4,54.612217,25.32477,11.111202
3.5,54.37741,25.215982,11.188394
3.6000001,54.14267,25.10702,11.265536
3.7,53.90798,24.997871,11.342632
3.8,53.67335,24.888535,11.419683
3.9,53.438778,24.779,11.496688
4.0,53.204266,24.669256,11.573647
4.1,52.96982,24.559294,11.6505575
4.2000003,52.735428,24.449106,11.727422
4.3,52.501114,24.338684,11.804236
4.4,52.266872,24.228016,11.880999
4.5,52.032696,24.117088,11.957708
4.6,51.798653,24.005917,12.03437
4.7000003,51.564632,23.894447,12.110965
4.8,51.330708,23.782694,12.187493
4.9,51.096874,23.670635,12.263948
5.0,50.863144,23.558264,12.340324
5.1,50.629524,23.445574,12.416612
5.2000003,50.396015,23.332548,12.492805
5.3,50.162632,23.219185,12.568891
5.4,49.92938,23.105474,12.64486
5.5,49.696274,22.991411,12.720703
5.6,49.463314,22.876987,12.796408
5.7000003,49.23051,22.762205,12.871961
5.8,48.99788,22.647057,12.947348
